1,50.584255,991.53
2,21.317079,991.89
3,17.942423,991.91
4,17.666320,1190.37
5,16.248454,935.79
6,15.928254,1290.35
7,15.566516,712.84
8,15.301851,631.42
9,15.143468,618.63
10,15.048357,621.97
11,15.059751,618.42
12,14.942124,613.61
13,14.873046,617.56
14,14.838261,616.80
15,14.806615,613.85
16,14.757484,624.88
17,14.737938,613.94
18,14.715869,619.39
19,14.693102,625.77
20,14.687440,615.70
21,14.639654,626.17
22,14.615620,624.87
23,14.596951,618.71
24,14.577993,612.55
25,14.614275,620.13
26,14.546842,612.28
27,14.541017,621.49
28,14.522444,613.00
29,14.548258,622.37
30,14.501483,620.41
31,14.505074,634.54
32,14.349758,626.05
33,14.329303,624.60
34,14.323606,617.61
35,14.320545,621.67
36,14.313081,623.65
37,14.308963,613.15
38,14.308211,620.95
39,14.303781,617.15
40,14.299222,618.81
41,14.297284,616.18
42,14.295935,618.19
43,14.292131,622.51
44,14.288999,624.22
45,14.291805,625.45
46,14.285373,625.26
47,14.289866,623.17
